Compound,Ionization_Mode,Score,Mass,Retention_Time,Frequency,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,48_T1,48_T2,48_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,Mean_MB,Median_MB,STD_MB,CV_MB,N_Abun_MB,Mean_53_T,Median_53_T,STD_53_T,CV_53_T,N_Abun_53_T,Mean_54_T,Median_54_T,STD_54_T,CV_54_T,N_Abun_54_T,Mean_55_T,Median_55_T,STD_55_T,CV_55_T,N_Abun_55_T,Mean_56_T,Median_56_T,STD_56_T,CV_56_T,N_Abun_56_T,Mean_57_T,Median_57_T,STD_57_T,CV_57_T,N_Abun_57_T,Mean_58_T,Median_58_T,STD_58_T,CV_58_T,N_Abun_58_T,Mean_59_T,Median_59_T,STD_59_T,CV_59_T,N_Abun_59_T,Mean_60_T,Median_60_T,STD_60_T,CV_60_T,N_Abun_60_T,Mean_49_T,Median_49_T,STD_49_T,CV_49_T,N_Abun_49_T,Mean_50_T,Median_50_T,STD_50_T,CV_50_T,N_Abun_50_T,Mean_51_T,Median_51_T,STD_51_T,CV_51_T,N_Abun_51_T,Mean_52_T,Median_52_T,STD_52_T,CV_52_T,N_Abun_52_T,Mean_48_T,Median_48_T,STD_48_T,CV_48_T,N_Abun_48_T,Mean_45_T,Median_45_T,STD_45_T,CV_45_T,N_Abun_45_T,Mean_46_T,Median_46_T,STD_46_T,CV_46_T,N_Abun_46_T,Mean_47_T,Median_47_T,STD_47_T,CV_47_T,N_Abun_47_T,is_Formate_Adduct,has_Formate_Adduct,unique_Formate_Number,is_Na_Adduct,has_Na_Adduct,unique_Na_Number,is_Ammonium_Adduct,has_Ammonium_Adduct,unique_Ammonium_Number,is_H2O_Adduct,has_H2O_Adduct,unique_H2O_Number,is_CO2_Adduct,has_CO2_Adduct,unique_CO2_Number,Rounded_Mass,Median_ALLSamples,SampletoBlanks_ratio,Median_ALLMB,BlankSub_Median_53_T,BlankSub_Median_54_T,BlankSub_Median_55_T,BlankSub_Median_56_T,BlankSub_Median_57_T,BlankSub_Median_58_T,BlankSub_Median_59_T,BlankSub_Median_60_T,BlankSub_Median_49_T,BlankSub_Median_50_T,BlankSub_Median_51_T,BlankSub_Median_52_T,BlankSub_Median_48_T,BlankSub_Median_45_T,BlankSub_Median_46_T,BlankSub_Median_47_T,BlankSub_Median_ALLSamples
C5H13NO,,87.6,103.0991,2.2760007,49,,,,185667.0,217153.0,148789.0,,,66028.0,,42651.0,194241.0,78511.0,82008.0,143149.0,339363.0,673417.0,8595181.0,82657.0,73233.0,108063.0,47950.0,49888.0,155823.0,97107.0,133763.0,89859.0,616075.0,534832.0,438991.0,766865.0,792732.0,1034419.0,219586.0,591528.0,390244.0,393760.0,548586.0,5070238.0,3824613.0,1115420.0,1415102.0,1833750.0,2601188.0,2723413.0,78241.0,2481072.0,14600000.0,520558.0,240341.0,342740.0,,,,,0,183870.0,185667.0,34217.0,0.19,3,66028.0,66028.0,,,1,118446.0,118446.0,107190.0,0.9,2,101223.0,82008.0,36351.0,0.36,3,3202654.0,673417.0,4673052.0,1.46,3,87984.0,82657.0,18016.0,0.2,3,84554.0,49888.0,61729.0,0.73,3,106910.0,97107.0,23536.0,0.22,3,529966.0,534832.0,88642.0,0.17,3,864672.0,792732.0,147573.0,0.17,3,400453.0,390244.0,186181.0,0.46,3,2004195.0,548586.0,2656400.0,1.33,3,2118378.0,1415102.0,1485220.0,0.7,3,2386117.0,2601188.0,482252.0,0.2,3,5719771.0,2481072.0,7783781.0,1.36,3,367880.0,342740.0,141790.0,0.39,3,,,,,,,,,,,,,,,,103.0,366492.0,,0.0,185667.0,66028.0,118446.0,82008.0,673417.0,82657.0,49888.0,97107.0,534832.0,792732.0,390244.0,548586.0,1415102.0,2601188.0,2481072.0,342740.0,366492.0
C5H13NO 15.361,,86.97,103.0994,15.360999999999999,43,,,,16363.0,18481.0,15520.0,,,,,,,18658.0,18640.0,,16927.0,,,,,15742.0,,12473.0,22288.0,,,,69641.0,78898.0,88533.0,143044.0,159139.0,159311.0,21823.0,45939.0,32709.0,27538.0,39397.0,44247.0,223720.0,160212.0,213886.0,98573.0,141421.0,314253.0,34174.0,169131.0,345759.0,101849.0,76180.0,60016.0,,,,,0,16788.0,16363.0,1526.0,0.09,3,,,,,0,,,,,0,18649.0,18649.0,13.0,0.0,2,16927.0,16927.0,,,1,15742.0,15742.0,,,1,17380.0,17380.0,6940.0,0.4,2,,,,,0,79024.0,78898.0,9447.0,0.12,3,153831.0,159139.0,9343.0,0.06,3,33490.0,32709.0,12077.0,0.36,3,37061.0,39397.0,8596.0,0.23,3,199273.0,213886.0,34183.0,0.17,3,184749.0,141421.0,114182.0,0.62,3,183021.0,169131.0,156256.0,0.85,3,79348.0,76180.0,21096.0,0.27,3,,,,,,,,,,,,,,,,103.0,39397.0,,0.0,16363.0,,,18649.0,16927.0,15742.0,17380.0,,78898.0,159139.0,32709.0,39397.0,213886.0,141421.0,169131.0,76180.0,39397.0
C5H13NO 1.1839992,,87.44,103.1,1.1839992,50,,,,402641.0,262713.0,218602.0,104281.0,36831.0,205135.0,52973.0,75814.0,507149.0,227784.0,230860.0,206448.0,130390.0,256637.0,183995.0,294706.0,74470.0,431640.0,94286.0,128976.0,414353.0,366562.0,15289.0,450974.0,1880152.0,1856258.0,1414071.0,2386219.0,2315399.0,2607947.0,1124175.0,1237246.0,1144023.0,912858.0,1430493.0,1580261.0,3447577.0,2950251.0,3180081.0,2502213.0,2749095.0,3198440.0,1011285.0,2884936.0,4218423.0,2254259.0,1541945.0,1814498.0,,,,,0,294652.0,262713.0,96087.0,0.33,3,115416.0,104281.0,84703.0,0.73,3,211979.0,75814.0,255880.0,1.21,3,221697.0,227784.0,13296.0,0.06,3,190341.0,183995.0,63362.0,0.33,3,266939.0,294706.0,180197.0,0.68,3,212538.0,128976.0,175635.0,0.83,3,277608.0,366562.0,231063.0,0.83,3,1716827.0,1856258.0,262466.0,0.15,3,2436522.0,2386219.0,152623.0,0.06,3,1168481.0,1144023.0,60373.0,0.05,3,1307871.0,1430493.0,350191.0,0.27,3,3192636.0,3180081.0,248901.0,0.08,3,2816583.0,2749095.0,352986.0,0.13,3,2704881.0,2884936.0,1611133.0,0.6,3,1870234.0,1814498.0,359413.0,0.19,3,,,,,,,,,,,,,,,,103.0,755292.0,,0.0,262713.0,104281.0,75814.0,227784.0,183995.0,294706.0,128976.0,366562.0,1856258.0,2386219.0,1144023.0,1430493.0,3180081.0,2749095.0,2884936.0,1814498.0,755292.0
C5H12O2 6.0180025,,86.19,104.084,6.018002500000001,50,,,,318442.0,307587.0,326197.0,326343.0,186109.0,292127.0,297337.0,265483.0,289440.0,223349.0,215370.0,197262.0,189009.0,350862.0,224966.0,339221.0,181079.0,374022.0,266158.0,334991.0,320129.0,256830.0,253537.0,268972.0,228008.0,269393.0,320142.0,328172.0,331065.0,348806.0,359820.0,325118.0,433766.0,261347.0,257838.0,176274.0,18756.0,71117.0,25343.0,155169.0,299715.0,48156.0,,461118.0,,28772.0,85087.0,254928.0,,,,,0,317409.0,318442.0,9348.0,0.03,3,268193.0,292127.0,73116.0,0.27,3,284087.0,289440.0,16588.0,0.06,3,211994.0,215370.0,13367.0,0.06,3,254946.0,224966.0,84989.0,0.33,3,298107.0,339221.0,102832.0,0.34,3,307093.0,320129.0,36221.0,0.12,3,259780.0,256830.0,8129.0,0.03,3,272514.0,269393.0,46146.0,0.17,3,336014.0,331065.0,11172.0,0.03,3,372901.0,359820.0,55493.0,0.15,3,231820.0,257838.0,48136.0,0.21,3,38405.0,25343.0,28520.0,0.74,3,167680.0,155169.0,126245.0,0.75,3,461118.0,461118.0,,,1,122929.0,85087.0,117731.0,0.96,3,,,,,,,,,,,,,,,,104.0,279416.0,,0.0,318442.0,292127.0,289440.0,215370.0,224966.0,339221.0,320129.0,256830.0,269393.0,331065.0,359820.0,257838.0,25343.0,155169.0,461118.0,85087.0,279416.0
C5H12O2,,86.38,104.0845,2.8200006,50,,,,5839862.0,5020332.0,4934810.0,5235960.0,2513737.0,4336431.0,5477835.0,4540031.0,4733046.0,4234703.0,3844789.0,3723598.0,4039416.0,5555636.0,3135153.0,6745001.0,2627849.0,7124442.0,4238797.0,5840789.0,5170048.0,4058382.0,2788761.0,4097329.0,4559144.0,5086748.0,4916752.0,6145478.0,5698203.0,6644993.0,6660436.0,5466629.0,6538356.0,3713433.0,4272647.0,4136249.0,4711685.0,4349628.0,5031216.0,3460360.0,5708556.0,6329947.0,373983.0,9062222.0,7991364.0,4983798.0,5648385.0,5121981.0,,,,,0,5265001.0,5020332.0,499677.0,0.09,3,4028709.0,4336431.0,1386955.0,0.34,3,4916971.0,4733046.0,495217.0,0.1,3,3934363.0,3844789.0,267067.0,0.07,3,4243402.0,4039416.0,1223067.0,0.29,3,5499097.0,6745001.0,2493801.0,0.45,3,5083211.0,5170048.0,804519.0,0.16,3,3648157.0,4058382.0,744514.0,0.2,3,4854215.0,4916752.0,269304.0,0.06,3,6162891.0,6145478.0,473635.0,0.08,3,6221807.0,6538356.0,656846.0,0.11,3,4040776.0,4136249.0,291576.0,0.07,3,4697510.0,4711685.0,341015.0,0.07,3,5166288.0,5708556.0,1509693.0,0.29,3,5809190.0,7991364.0,4737382.0,0.82,3,5251388.0,5121981.0,350683.0,0.07,3,,,,,,,,,,,,,,,,104.0,4968542.0,,0.0,5020332.0,4336431.0,4733046.0,3844789.0,4039416.0,6745001.0,5170048.0,4058382.0,4916752.0,6145478.0,6538356.0,4136249.0,4711685.0,5708556.0,7991364.0,5121981.0,4968542.0
C5H5N4,,85.95,121.0504,3.6580007000000005,50,,,,630733.0,579184.0,525795.0,581404.0,341001.0,519030.0,856608.0,775727.0,814228.0,626801.0,587739.0,582236.0,1069315.0,1350773.0,618274.0,594456.0,335410.0,617231.0,369695.0,423451.0,434080.0,382103.0,301037.0,394382.0,624107.0,648583.0,636110.0,622767.0,577533.0,653345.0,569050.0,435378.0,522522.0,515701.0,584477.0,591179.0,1225764.0,1269590.0,1306582.0,525797.0,792069.0,858492.0,,749594.0,534396.0,585167.0,617755.0,565926.0,,,,,0,578571.0,579184.0,52472.0,0.09,3,480478.0,519030.0,124752.0,0.26,3,815521.0,814228.0,40456.0,0.05,3,598925.0,587739.0,24297.0,0.04,3,1012787.0,1069315.0,369507.0,0.36,3,515699.0,594456.0,156550.0,0.3,3,409075.0,423451.0,34516.0,0.08,3,359174.0,382103.0,50721.0,0.14,3,636267.0,636110.0,12239.0,0.02,3,617882.0,622767.0,38141.0,0.06,3,508983.0,522522.0,67857.0,0.13,3,563786.0,584477.0,41777.0,0.07,3,1267312.0,1269590.0,40457.0,0.03,3,725453.0,792069.0,176068.0,0.24,3,641995.0,641995.0,152168.0,0.24,2,589616.0,585167.0,26199.0,0.04,3,,,,,,,,,,,,,,,,121.0,591098.0,,0.0,579184.0,519030.0,814228.0,587739.0,1069315.0,594456.0,423451.0,382103.0,636110.0,622767.0,522522.0,584477.0,1269590.0,792069.0,641995.0,585167.0,591098.0
C8H12O,,75.89,124.0895,6.9049993,50,,,,1024231.0,977564.0,1071262.0,1005014.0,636285.0,962510.0,1019912.0,901445.0,1004012.0,991851.0,943203.0,851584.0,415235.0,1401939.0,1038339.0,1216187.0,763954.0,1358728.0,981413.0,1125145.0,1143721.0,821779.0,883446.0,842965.0,798647.0,932959.0,1192322.0,1188296.0,1222498.0,1241097.0,1216480.0,1197162.0,1429183.0,1057880.0,983939.0,130894.0,315227.0,339632.0,242791.0,753981.0,969303.0,326138.0,72882.0,1213111.0,197534.0,223054.0,275978.0,885142.0,,,,,0,1024352.0,1024231.0,46849.0,0.05,3,867936.0,962510.0,201738.0,0.23,3,975123.0,1004012.0,64300.0,0.07,3,928879.0,943203.0,71222.0,0.08,3,951838.0,1038339.0,499007.0,0.52,3,1112956.0,1216187.0,310534.0,0.28,3,1083426.0,1125145.0,88833.0,0.08,3,849397.0,842965.0,31333.0,0.04,3,974643.0,932959.0,200120.0,0.21,3,1217297.0,1222498.0,26782.0,0.02,3,1280942.0,1216480.0,128744.0,0.1,3,724238.0,983939.0,515179.0,0.71,3,299217.0,315227.0,50367.0,0.17,3,683141.0,753981.0,327382.0,0.48,3,494509.0,197534.0,625441.0,1.26,3,461391.0,275978.0,367932.0,0.8,3,,,,,,,,,,,,,,,,124.0,973224.0,,0.0,1024231.0,962510.0,1004012.0,943203.0,1038339.0,1216187.0,1125145.0,842965.0,932959.0,1222498.0,1216480.0,983939.0,315227.0,753981.0,197534.0,275978.0,973224.0
C4H5F3O,,87.81,126.0293,1.8700006,50,,,,1559528.0,1401614.0,1247848.0,1487202.0,823293.0,1250080.0,1662746.0,1350045.0,1588347.0,1658371.0,1650960.0,1765232.0,341057.0,2787728.0,1318893.0,1245225.0,949155.0,2163514.0,976256.0,1223563.0,1310562.0,2272808.0,1555611.0,1627721.0,2138232.0,1428018.0,1140788.0,2253955.0,1983537.0,1373260.0,2041496.0,917268.0,1235221.0,1411004.0,1091252.0,923645.0,563056.0,896390.0,631609.0,1135235.0,1158394.0,229410.0,,2155716.0,160593.0,353205.0,439654.0,2299442.0,,,,,0,1402997.0,1401614.0,155845.0,0.11,3,1186858.0,1250080.0,336439.0,0.28,3,1533713.0,1588347.0,163353.0,0.11,3,1691521.0,1658371.0,63943.0,0.04,3,1482559.0,1318893.0,1231519.0,0.83,3,1452631.0,1245225.0,633190.0,0.44,3,1170127.0,1223563.0,173441.0,0.15,3,1818713.0,1627721.0,394907.0,0.22,3,1569013.0,1428018.0,513452.0,0.33,3,1870251.0,1983537.0,451144.0,0.24,3,1397995.0,1235221.0,579520.0,0.41,3,1141967.0,1091252.0,247606.0,0.22,3,697018.0,631609.0,176030.0,0.25,3,841013.0,1135235.0,529790.0,0.63,3,1158154.0,1158154.0,1410765.0,1.22,2,1030767.0,439654.0,1099555.0,1.07,3,,,,,,,,,,,,,,,,126.0,1247652.0,,0.0,1401614.0,1250080.0,1588347.0,1658371.0,1318893.0,1245225.0,1223563.0,1627721.0,1428018.0,1983537.0,1235221.0,1091252.0,631609.0,1135235.0,1158154.0,439654.0,1247652.0
C5H8N3O,,95.04,126.0666,2.8200006,50,,141768.0,70791.5,20999814.0,19799814.0,20699814.0,20899814.0,13799814.0,18999814.0,21799814.0,19299814.0,20199814.0,19499814.0,18099814.0,17799814.0,18799814.0,21899814.0,15599814.0,24499814.0,14199814.0,25399814.0,18799814.0,22299814.0,20799814.0,17499814.0,13699814.0,17399814.0,17799814.0,19299814.0,20099814.0,21499814.0,21299814.0,23699814.0,22399814.0,20899814.0,22799814.0,17399814.0,18399814.0,16899814.0,19399814.0,17999814.0,19499814.0,15699814.0,20699814.0,22199814.0,3481988.0,25999814.0,25599814.0,18999814.0,20999814.0,19299814.0,106466.0,106466.0,50188.0,0.47,2,20500000.0,20700000.0,624500.0,0.03,3,17900000.0,19000000.0,3675595.0,0.21,3,20433333.0,20200000.0,1266228.0,0.06,3,18466667.0,18100000.0,907377.0,0.05,3,18766667.0,18800000.0,3150132.0,0.17,3,21366667.0,24500000.0,6222808.0,0.29,3,20633333.0,20800000.0,1755942.0,0.09,3,16200000.0,17400000.0,2165641.0,0.13,3,19066667.0,19300000.0,1167619.0,0.06,3,22166667.0,21500000.0,1331666.0,0.06,3,22033333.0,22400000.0,1001665.0,0.05,3,17566667.0,17400000.0,763763.0,0.04,3,18966667.0,19400000.0,838650.0,0.04,3,19533333.0,20700000.0,3403430.0,0.17,3,18360725.0,25600000.0,12886755.0,0.7,3,19766667.0,19300000.0,1078579.0,0.05,3,,,,,,,,,,,,,,,,126.0,19800000.0,185.97486521518607,186.0,20699814.0,18999814.0,20199814.0,18099814.0,18799814.0,24499814.0,20799814.0,17399814.0,19299814.0,21499814.0,22399814.0,17399814.0,19399814.0,20699814.0,25599814.0,19299814.0,19799814.0
C6H7F3,,87.73,136.0497,4.391001999999999,49,,65752.0,32874.5,296780.0,252374.0,204011.0,230927.0,113404.0,225600.0,215521.0,150982.0,208225.0,119672.0,128704.0,139795.0,67312.0,270148.0,193046.0,244452.0,127470.0,250529.0,122111.0,261009.0,94733.0,194947.0,223761.0,199249.0,153522.0,182520.0,217355.0,153944.0,153248.0,169694.0,234443.0,164559.0,241017.0,219814.0,187068.0,,48166.0,73769.0,64627.0,109014.0,140553.0,53630.0,44772.0,254796.0,37519.0,43830.0,64267.0,122434.0,49317.0,49317.0,23248.0,0.47,2,251059.0,252378.0,46399.0,0.18,3,189981.0,225604.0,66368.0,0.35,3,191580.0,208229.0,35344.0,0.18,3,129394.0,128708.0,10079.0,0.08,3,176839.0,193050.0,102385.0,0.58,3,207488.0,244456.0,69360.0,0.33,3,159288.0,122115.0,89153.0,0.56,3,205990.0,199253.0,15543.0,0.08,3,184470.0,182524.0,31961.0,0.17,3,158966.0,153948.0,9301.0,0.06,3,213344.0,234447.0,42373.0,0.2,3,203445.0,203445.0,23155.0,0.11,2,62191.0,64631.0,12975.0,0.21,3,101070.0,109018.0,44003.0,0.44,3,112366.0,44776.0,123404.0,1.1,3,76848.0,64271.0,40783.0,0.53,3,,,,,,,,,,,,,,,,136.0,187787.0,3.80775391852708,4.0,252374.0,225600.0,208225.0,128704.0,193046.0,244452.0,122111.0,199249.0,182520.0,153944.0,234443.0,203441.0,64627.0,109014.0,44772.0,64267.0,187783.0
C5H7F3O,,87.85,140.0451,2.5470006,23,,,,,,429322.0,397664.0,227833.0,340696.0,,,,,390630.0,357195.0,183955.0,509564.0,,,170246.0,,,,,,348888.0,,,,,,,,,,,326410.0,,,125735.0,176977.0,116487.0,,,148598.0,33876.0,649696.0,53228.0,92785.0,140261.0,421675.0,,,,,0,429322.0,429322.0,,,1,322064.0,340696.0,86435.0,0.27,3,,,,,0,373912.0,373912.0,23642.0,0.06,2,346760.0,346760.0,230240.0,0.66,2,170246.0,170246.0,,,1,,,,,0,348888.0,348888.0,,,1,,,,,0,,,,,0,,,,,0,326410.0,326410.0,,,1,139733.0,125735.0,32584.0,0.23,3,148598.0,148598.0,,,1,245600.0,53228.0,350091.0,1.43,3,218240.0,140261.0,177772.0,0.81,3,,,,,,,,,,,,,,,,140.0,326410.0,,0.0,429322.0,340696.0,,373912.0,346760.0,170246.0,,348888.0,,,,326410.0,125735.0,148598.0,53228.0,140261.0,326410.0
C5H6N3O2,,86.97,140.0452,3.0839999,44,,,,856472.0,786401.0,770468.0,737748.0,,636169.0,905311.0,773644.0,860963.0,756859.0,721259.0,700345.0,,1336807.0,1103529.0,684235.0,,728819.0,573186.0,729969.0,627281.0,756090.0,806708.0,787392.0,842709.0,922265.0,960483.0,546228.0,523571.0,558403.0,532824.0,458392.0,558699.0,597315.0,645957.0,283060.0,152575.0,,135145.0,508127.0,910311.0,,33491.0,952695.0,60225.0,98592.0,,671200.0,,,,,0,804447.0,786401.0,45754.0,0.06,3,686958.0,686958.0,71827.0,0.1,2,846639.0,860963.0,66992.0,0.08,3,726154.0,721259.0,28573.0,0.04,3,1220168.0,1220168.0,164952.0,0.14,2,706527.0,706527.0,31526.0,0.04,2,643479.0,627281.0,79637.0,0.12,3,783397.0,787392.0,25544.0,0.03,3,908486.0,922265.0,60084.0,0.07,3,542734.0,546228.0,17677.0,0.03,3,516638.0,532824.0,52075.0,0.1,3,508777.0,597315.0,196984.0,0.39,3,143860.0,143860.0,12325.0,0.09,2,709219.0,709219.0,284387.0,0.4,2,348804.0,60225.0,523156.0,1.5,3,384896.0,384896.0,404895.0,1.05,2,,,,,,,,,,,,,,,,140.0,696742.0,,0.0,786401.0,686958.0,860963.0,721259.0,1220168.0,706527.0,627281.0,787392.0,922265.0,546228.0,532824.0,597315.0,143860.0,709219.0,60225.0,384896.0,696742.0
C6H11F3,,86.7,140.0814,4.166997,50,,50363.0,25179.0,219665.0,207324.0,202651.0,212812.0,95493.0,163723.0,189430.0,163717.0,165357.0,173914.0,160393.0,156253.0,139725.0,259165.0,178743.0,210409.0,100530.0,236380.0,155663.0,252518.0,176255.0,170150.0,172453.0,201832.0,276689.0,290621.0,312235.0,297028.0,268691.0,309759.0,357393.0,310493.0,399069.0,261155.0,272808.0,278906.0,288485.0,247788.0,311718.0,216506.0,300458.0,287299.0,42352.0,435897.0,304217.0,210248.0,221959.0,249926.0,37777.0,37777.0,17808.0,0.47,2,209886.0,207330.0,8790.0,0.04,3,157349.0,163729.0,58919.0,0.37,3,172841.0,165363.0,14395.0,0.08,3,163526.0,160399.0,9236.0,0.06,3,192550.0,178749.0,60904.0,0.32,3,182446.0,210415.0,72115.0,0.4,3,194818.0,176261.0,51024.0,0.26,3,181484.0,172459.0,17664.0,0.1,3,293188.0,290627.0,17911.0,0.06,3,291832.0,297034.0,21022.0,0.07,3,355658.0,357399.0,44314.0,0.12,3,270962.0,272814.0,9019.0,0.03,3,282670.0,288491.0,32360.0,0.11,3,268094.0,287305.0,45153.0,0.17,3,260828.0,304223.0,200329.0,0.77,3,227384.0,221965.0,20386.0,0.09,3,,,,,,,,,,,,,,,,140.0,216190.0,5.722794292823676,6.0,207324.0,163723.0,165357.0,160393.0,178743.0,210409.0,176255.0,172453.0,290621.0,297028.0,357393.0,272808.0,288485.0,287299.0,304217.0,221959.0,216184.0
C7H10O3,,86.37,142.0644,4.587002,50,,,,179552.0,168885.0,171430.0,142520.0,99649.0,145885.0,167166.0,145434.0,159842.0,181300.0,188663.0,174496.0,29840.0,261425.0,190795.0,207240.0,112654.0,238859.0,143476.0,166201.0,130774.0,134873.0,136168.0,126065.0,128333.0,154739.0,192684.0,164254.0,157112.0,168602.0,164769.0,142421.0,189078.0,160122.0,153221.0,71413.0,85263.0,61408.0,56069.0,75401.0,122539.0,77816.0,,150174.0,56400.0,44179.0,33366.0,108355.0,,,,,0,173289.0,171430.0,5571.0,0.03,3,129351.0,142520.0,25778.0,0.2,3,157481.0,159842.0,11057.0,0.07,3,181486.0,181300.0,7085.0,0.04,3,160687.0,190795.0,118692.0,0.74,3,186251.0,207240.0,65668.0,0.35,3,146817.0,143476.0,17948.0,0.12,3,132369.0,134873.0,5497.0,0.04,3,158585.0,154739.0,32347.0,0.2,3,163323.0,164254.0,5801.0,0.04,3,165423.0,164769.0,23335.0,0.14,3,128252.0,153221.0,49345.0,0.38,3,67580.0,61408.0,15545.0,0.23,3,91919.0,77816.0,26545.0,0.29,3,103287.0,103287.0,66308.0,0.64,2,61967.0,44179.0,40536.0,0.65,3,,,,,,,,,,,,,,,,142.0,153980.0,,0.0,171430.0,142520.0,159842.0,181300.0,190795.0,207240.0,143476.0,134873.0,154739.0,164254.0,164769.0,153221.0,61408.0,77816.0,103287.0,44179.0,153980.0
C8H14O2,,69.37,142.1001,6.912997200000001,50,,,,238392.0,222842.0,234887.0,227182.0,144584.0,214541.0,224500.0,199447.0,218361.0,202946.0,191946.0,182831.0,93913.0,282069.0,218614.0,249659.0,157150.0,271776.0,203745.0,258711.0,185670.0,189190.0,205383.0,187335.0,163146.0,196279.0,242414.0,233767.0,245066.0,245279.0,254259.0,246393.0,295841.0,222950.0,199755.0,38874.0,65890.0,73874.0,54063.0,156783.0,197714.0,71055.0,,241405.0,42694.0,47674.0,61687.0,183325.0,,,,,0,232040.0,234887.0,8156.0,0.04,3,195436.0,214541.0,44490.0,0.23,3,214103.0,218361.0,13058.0,0.06,3,192574.0,191946.0,10072.0,0.05,3,198199.0,218614.0,95725.0,0.48,3,226195.0,249659.0,60809.0,0.27,3,216042.0,203745.0,38042.0,0.18,3,193969.0,189190.0,9928.0,0.05,3,200613.0,196279.0,39811.0,0.2,3,241371.0,245066.0,6586.0,0.03,3,265498.0,254259.0,26571.0,0.1,3,153860.0,199755.0,100254.0,0.65,3,64609.0,65890.0,9967.0,0.15,3,141851.0,156783.0,64636.0,0.46,3,142050.0,142050.0,140510.0,0.99,2,97562.0,61687.0,74603.0,0.76,3,,,,,,,,,,,,,,,,142.0,201750.0,,0.0,234887.0,214541.0,218361.0,191946.0,218614.0,249659.0,203745.0,189190.0,196279.0,245066.0,254259.0,199755.0,65890.0,156783.0,142050.0,61687.0,201750.0
C7H9N4,,86.09,149.0832,6.169003,45,,,,,,,,,,46944.0,,,24491.0,,,20572.0,44243.0,100810.0,36816.0,,,,,,,,,570958.0,,,29409.0,,,53761.0,36295.0,,50641.0,299543.0,24265.0,66468.0,,22756.0,37767.0,213272.0,31713.0,,35365.0,23004.0,69681.0,27518.0,61377.0,,,,,0,,,,,0,,,,,0,46944.0,46944.0,,,1,24491.0,24491.0,,,1,55208.0,44243.0,41228.0,0.75,3,36816.0,36816.0,,,1,,,,,0,,,,,0,570958.0,570958.0,,,1,29409.0,29409.0,,,1,45028.0,45028.0,12350.0,0.27,2,124816.0,50641.0,151891.0,1.22,3,44612.0,44612.0,30909.0,0.69,2,94251.0,37767.0,103120.0,1.09,3,29184.0,29184.0,8741.0,0.3,2,52859.0,61377.0,22335.0,0.42,3,,,,,,,,,,,,,,,,149.0,44428.0,,0.0,,,46944.0,24491.0,44243.0,36816.0,,,570958.0,29409.0,45028.0,50641.0,44612.0,37767.0,29184.0,61377.0,44428.0
C7H8N3O,,87.06,150.0656,5.641999,50,,,,308302.0,254916.0,251693.0,245644.0,141286.0,233268.0,249513.0,177600.0,240817.0,171481.0,158596.0,156978.0,99805.0,260625.0,183011.0,236930.0,128075.0,257967.0,150595.0,257649.0,138834.0,213230.0,241588.0,211235.0,134268.0,152289.0,201580.0,152301.0,140957.0,150187.0,203789.0,164053.0,228038.0,225476.0,178294.0,82920.0,35723.0,38233.0,58490.0,96583.0,135982.0,69040.0,,215538.0,,49182.0,65009.0,125227.0,,,,,0,271637.0,254916.0,31794.0,0.12,3,206733.0,233268.0,57015.0,0.28,3,222643.0,240817.0,39250.0,0.18,3,162352.0,158596.0,7948.0,0.05,3,181147.0,183011.0,80426.0,0.44,3,207657.0,236930.0,69718.0,0.34,3,182359.0,150595.0,65467.0,0.36,3,222018.0,213230.0,16978.0,0.08,3,162712.0,152289.0,34846.0,0.21,3,147815.0,150187.0,6033.0,0.04,3,198627.0,203789.0,32303.0,0.16,3,162230.0,178294.0,72623.0,0.45,3,44149.0,38233.0,12483.0,0.28,3,100535.0,96583.0,33646.0,0.33,3,215538.0,215538.0,,,1,79806.0,65009.0,40124.0,0.5,3,,,,,,,,,,,,,,,,150.0,180652.0,,0.0,254916.0,233268.0,240817.0,158596.0,183011.0,236930.0,150595.0,213230.0,152289.0,150187.0,203789.0,178294.0,38233.0,96583.0,215538.0,65009.0,180652.0
C8H9NO2,,85.16,151.063,3.4800007000000006,43,,,,,,,,,,147464.0,126804.0,131579.0,,,,,,,,,,107071.0,102620.0,130867.0,,,,,,,188244.0,203148.0,222066.0,41432.0,,,70138.0,158655.0,130744.0,,,,,,,,187516.0,,,,,,,,,0,,,,,0,,,,,0,135282.0,131579.0,10816.0,0.08,3,,,,,0,,,,,0,,,,,0,113519.0,107071.0,15187.0,0.13,3,,,,,0,,,,,0,204486.0,203148.0,16951.0,0.08,3,41432.0,41432.0,,,1,119846.0,130744.0,45254.0,0.38,3,,,,,0,,,,,0,187516.0,187516.0,,,1,,,,,0,,,,,,,,,,,,,,,,151.0,131162.0,,0.0,,,131579.0,,,,107071.0,,,203148.0,41432.0,130744.0,,,187516.0,,131162.0
